forcing creation of server ID: 46
[07-02-2017 19:33:08.563168][ startup] CONSTRUCTED SERVER
[07-02-2017 19:33:08.569548][ startup] MAIN LOOP START
[07-02-2017 19:33:08.569655][ startup] SENDER START
[07-02-2017 19:33:08.569768][ startup] RECEIVER START
[07-02-2017 19:33:08.569832][ startup] HANDLE RECEIVE START
[07-02-2017 19:33:15.176212][    info] CLIENT CONNECTED: 74
[07-02-2017 19:33:33.787004][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.810389][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.810460][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.830730][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.830845][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.851735][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.851808][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.872154][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.872226][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.896086][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.896159][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.919462][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.919531][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.944167][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.944256][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.964811][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.964938][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.988246][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.988327][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.010425][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.010500][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.034726][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.034801][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.055051][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.055187][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.075883][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.075980][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.096257][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.096328][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.119390][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.119505][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.143326][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.143428][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:34.165288][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:34.165414][   error] COULDN'T FIND BUFFER targetlocation
