forcing creation of server ID: 44
[06-25-2017 13:11:51.701700][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702291][ startup] SENDER START
[06-25-2017 13:11:51.702339][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.702323][ startup] RECEIVER START
[06-25-2017 13:11:51.702371][ startup] MAIN LOOP START
[06-25-2017 13:11:58.215463][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:31.728672][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.753470][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.753546][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.778580][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.778679][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.803598][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.803699][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.827225][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.827331][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.851804][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.851892][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.873450][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.873542][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.897709][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.897790][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.918959][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.919066][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.942539][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.942640][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.966866][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.966970][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.987983][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.988068][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.013427][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.013535][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.035311][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.035413][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.057787][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.057884][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.079942][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.080067][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.105585][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.105684][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.128814][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.128903][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.150062][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.150151][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.174057][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.174149][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.195685][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:32.195794][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:32.219233][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
